UniqueIdentifier EntryName GeneName NumberTRs
Q96L92 SNX27_HUMAN SNX27 2
Q9H040 SPRTN_HUMAN SPRTN 1
Q8IYB3 SRRM1_HUMAN SRRM1 3
Q9NUC0 SRTD4_HUMAN SERTAD4 1
Q05519 SRS11_HUMAN SRSF11 1
Q69YW2 STUM_HUMAN STUM 1
Q5VX71 SUSD4_HUMAN SUSD4 1
Q8TAD8 SNIP1_HUMAN SNIP1 1
Q9UPN9 TRI33_HUMAN TRIM33 2
Q6ZTA4 TRI67_HUMAN TRIM67 3
Q6Q759 SPG17_HUMAN SPAG17 1
Q5VWQ0 RSBN1_HUMAN RSBN1 2
P23246 SFPQ_HUMAN SFPQ 1
Q9NX07 TSAP1_HUMAN TRNAU1AP 1
Q15431 SYCP1_HUMAN SYCP1 1
Q7RTX0 TS1R3_HUMAN TAS1R3 1
Q5VXT5 SYPL2_HUMAN SYPL2 1
Q7RTX1 TS1R1_HUMAN TAS1R1 1
Q8NBP0 TTC13_HUMAN TTC13 2
Q9BW04 SARG_HUMAN SARG 1
O75056 SDC3_HUMAN SDC3 3
Q5VZ18 SHE_HUMAN SHE 1
Q9BZQ2 SHP1L_HUMAN SHCBP1L 1
O75069 TMCC2_HUMAN TMCC2 1
Q9H3T2 SEM6C_HUMAN SEMA6C 1
Q12874 SF3A3_HUMAN SF3A3 2
P0DME0 SETLP_HUMAN SETSIP 1
Q2M3M2 SC5A9_HUMAN SLC5A9 1
Q96GD3 SCMH1_HUMAN SCMH1 1
Q9BYC2 SCOT2_HUMAN OXCT2 1
Q9NZV5 SELN_HUMAN SELENON 1
O60779 S19A2_HUMAN SLC19A2 1
Q5JRA6 TGO1_HUMAN MIA3 1
P17542 TAL1_HUMAN TAL1 2
Q2MKA7 RSPO1_HUMAN RSPO1 1
Q93097 WNT2B_HUMAN WNT2B 1
P45379 TNNT2_HUMAN TNNT2 1
Q14146 URB2_HUMAN URB2 1
Q5T4S7 UBR4_HUMAN UBR4 3
A0A0A0MRH8 A0A0A0MRH8_HUMAN CHD1L 1
Q5TAQ7 Q5TAQ7_HUMAN DCAF8 1
Q5SY18 Q5SY18_HUMAN PLEKHG5 2
F8W689 F8W689_HUMAN RFX5 1
A0A087X027 A0A087X027_HUMAN SETSIP 1
A0A087WTY6 A0A087WTY6_HUMAN NBL1 1
A2A3C1 A2A3C1_HUMAN ADGRB2 1
A0A2R8YEG7 A0A2R8YEG7_HUMAN NLRP3 1
P42684 ABL2_HUMAN ABL2 1
E5RJM6 ANR65_HUMAN ANKRD65 1
P16066 ANPRA_HUMAN NPR1 1
Q9UKB5 AJAP1_HUMAN AJAP1 2
Q5TGY3 AHDC1_HUMAN AHDC1 3
O60241 AGRB2_HUMAN ADGRB2 1
P50406 5HT6R_HUMAN HTR6 1
O14497 ARI1A_HUMAN ARID1A 9
Q86WJ1 CHD1L_HUMAN CHD1L 1
Q96AQ9 F131C_HUMAN FAM131C 1
P29317 EPHA2_HUMAN EPHA2 1
Q8WUP2 FBLI1_HUMAN FBLIM1 2
P29322 EPHA8_HUMAN EPHA8 1
Q9UQ84 EXO1_HUMAN EXO1 1
Q8IYI6 EXOC8_HUMAN EXOC8 1
A6PVY3 F177B_HUMAN FAM177B 1
O00155 GPR25_HUMAN GPR25 1
B1AK53 ESPN_HUMAN ESPN 3
Q9NVM1 EVA1B_HUMAN EVA1B 1
Q9UK22 FBX2_HUMAN FBXO2 1
P30273 FCERG_HUMAN FCER1G 1
P52798 EFNA4_HUMAN EFNA4 1
O95886 DLGP3_HUMAN DLGAP3 1
Q53ET0 CRTC2_HUMAN CRTC2 1
O94886 CSCL1_HUMAN TMEM63A 1
Q8NFW5 DMBX1_HUMAN DMBX1 1
O60883 G37L1_HUMAN GPR37L1 1
P49454 CENPF_HUMAN CENPF 2
Q9C0B2 CFA74_HUMAN CFAP74 1
Q5SZQ8 CELF3_HUMAN CELF3 1
Q5T442 CXG2_HUMAN GJC2 2
Q15053 K0040_HUMAN KIAA0040 1
Q68E01 INT3_HUMAN INTS3 3
Q86VI3 IQGA3_HUMAN IQGAP3 1
Q96P70 IPO9_HUMAN IPO9 2
Q8IYS2 K2013_HUMAN KIAA2013 1
O60341 KDM1A_HUMAN KDM1A 1
O75054 IGSF3_HUMAN IGSF3 1
Q9GZN0 GPR88_HUMAN GPR88 1
Q8NBF1 GLIS1_HUMAN GLIS1 1
Q12905 ILF2_HUMAN ILF2 1
Q3T8J9 GON4L_HUMAN GON4L 2
Q93033 IGSF2_HUMAN CD101 1
Q9NS18 GLRX2_HUMAN GLRX2 1
O43432 IF4G3_HUMAN EIF4G3 1
Q02575 HEN1_HUMAN NHLH1 1
P22301 IL10_HUMAN IL10 1
Q99684 GFI1_HUMAN GFI1 1
P49137 MAPK2_HUMAN MAPKAPK2 1
Q00839 HNRPU_HUMAN HNRNPU 3
Q9UBY9 HSPB7_HUMAN HSPB7 1
Q14774 HLX_HUMAN HLX 1
Q5SSJ5 HP1B3_HUMAN HP1BP3 1
O43390 HNRPR_HUMAN HNRNPR 1
P11047 LAMC1_HUMAN LAMC1 1
Q13753 LAMC2_HUMAN LAMC2 1
A6NHR2 A6NHR2_HUMAN MRPL37 1
Q5VXI4 Q5VXI4_HUMAN ARHGEF10L 1
H0Y612 H0Y612_HUMAN TRIM33 1
A0A087WYJ0 A0A087WYJ0_HUMAN KCNN3 2
A0A0D9SEX9 A0A0D9SEX9_HUMAN GLIS1 1
Q537H9 Q537H9_HUMAN LRRC8B 1
Q5T1Z8 Q5T1Z8_HUMAN PUM1 1
B1AVT0 B1AVT0_HUMAN CLK2 1
A0A2R8Y5B5 A0A2R8Y5B5_HUMAN SLC19A2 1
Q9BV00 Q9BV00_HUMAN LMOD1 1
K7EJQ1 K7EJQ1_HUMAN RERE 2
A0A0C4DH79 A0A0C4DH79_HUMAN RSBN1 2
A0A286YEZ8 A0A286YEZ8_HUMAN HNRNPR 1
E9PQA7 E9PQA7_HUMAN BSDC1 1
S4R369 S4R369_HUMAN MRPL37 1
A0A0A0MRN4 A0A0A0MRN4_HUMAN ZNF326 1
A0A2R8YDT1 A0A2R8YDT1_HUMAN GLUL 1
C9JDF8 C9JDF8_HUMAN TNNT2 1
Q5VTW1 Q5VTW1_HUMAN ADAMTS4 1
A0A0D9SEW3 A0A0D9SEW3_HUMAN ZCCHC17 1
B9DI82 B9DI82_HUMAN PLCH2 1
A0A1W2PQD4 A0A1W2PQD4_HUMAN HNRNPU 1
G5E963 G5E963_HUMAN TMCC2 1
Q5T1Z4 Q5T1Z4_HUMAN PUM1 1
B7Z369 B7Z369_HUMAN SUSD4 1
G3V1E2 G3V1E2_HUMAN SDF4 1
Q5QPR4 Q5QPR4_HUMAN CDK11A 2
Q5TB19 Q5TB19_HUMAN ANP32E 1
A0A1B0GUZ3 A0A1B0GUZ3_HUMAN TMCC2 1
A0A0A0MRN0 A0A0A0MRN0_HUMAN PRPF38B 2
H0YLB0 H0YLB0_HUMAN PBX1 1
B4DWT1 B4DWT1_HUMAN SRSF11 1
Q4R9M9 Q4R9M9_HUMAN KIF1B 1
A6NGQ3 A6NGQ3_HUMAN OBSCN 1
H7C3W7 H7C3W7_HUMAN TAS1R1 1
Q5TB25 Q5TB25_HUMAN ANP32E 2
Q16075 Q16075_HUMAN POU2F1 1
B4DT28 B4DT28_HUMAN HNRNPR 1
F6X5H7 F6X5H7_HUMAN CTBS 1
Q68DG0 Q68DG0_HUMAN HSPB7 1
Q5QPR3 Q5QPR3_HUMAN CDK11A 2
E7EPW4 E7EPW4_HUMAN TNNT2 1
B1AKN7 B1AKN7_HUMAN NFIA 2
A0A0A0MRZ6 A0A0A0MRZ6_HUMAN LYST 1
H0Y953 H0Y953_HUMAN ATP13A2 1
H0YLT4 H0YLT4_HUMAN PBX1 1
R4GMQ1 R4GMQ1_HUMAN KDM1A 1
A0A087WTF2 A0A087WTF2_HUMAN UQCRH 1
A0A1X7SBS1 A0A1X7SBS1_HUMAN HNRNPU 2
E9PCT1 E9PCT1_HUMAN SRRM1 1
A0A0A0MS30 A0A0A0MS30_HUMAN PRRC2C 1
V9GYN8 V9GYN8_HUMAN SUSD4 1
H0Y6F6 H0Y6F6_HUMAN NAV1 1
A0A0A0MTI0 A0A0A0MTI0_HUMAN PBX1 1
A0A1B0GTS2 A0A1B0GTS2_HUMAN OBSCN 1
A0A0A0MRJ5 A0A0A0MRJ5_HUMAN TNNT2 1
C9JM61 C9JM61_HUMAN TNNT2 1
A0A087WZC3 A0A087WZC3_HUMAN SYCP1 1
H7BYW9 H7BYW9_HUMAN RERE 2
E9PI45 E9PI45_HUMAN ANP32E 1
A0A3B3ITX8 A0A3B3ITX8_HUMAN NoGeneName 1
E5RFZ1 E5RFZ1_HUMAN NBL1 1
A0A087WWP8 A0A087WWP8_HUMAN RSBN1 2
F8W8C1 F8W8C1_HUMAN TRIM67 3
A0A087WXF8 A0A087WXF8_HUMAN ZCCHC17 1
A0A087X0A5 A0A087X0A5_HUMAN SEMA6C 1
A0A0A0MSA7 A0A0A0MSA7_HUMAN EIF4G3 1
A0A2R8YEX1 A0A2R8YEX1_HUMAN CFAP74 1
Q5TIJ2 Q5TIJ2_HUMAN POGK 1
A0A1W2PP35 A0A1W2PP35_HUMAN HNRNPU 2
A0A0D9SFA7 A0A0D9SFA7_HUMAN TCEANC2 1
C9JXK0 C9JXK0_HUMAN LBR 1
A0A0D9SEI3 A0A0D9SEI3_HUMAN CDK11B 2
R4GNH2 R4GNH2_HUMAN FBXO2 1
A9Z1X7 A9Z1X7_HUMAN SRRM1 3
J3QR95 J3QR95_HUMAN MIB2 1
A0A0A0MRK1 A0A0A0MRK1_HUMAN GPATCH4 1
E7EX92 E7EX92_HUMAN CRYBG2 1
A0A1W2PQL0 A0A1W2PQL0_HUMAN HNRNPU 1
E7ESG2 E7ESG2_HUMAN CLSPN 1
A0A0A0MSH9 A0A0A0MSH9_HUMAN CHD1L 1
A0A0A0MRJ3 A0A0A0MRJ3_HUMAN NAV1 2
S4R3C4 S4R3C4_HUMAN SRSF11 1
F8W726 F8W726_HUMAN UBAP2L 1
B1AKR2 B1AKR2_HUMAN TMEM52 1
E9PSG0 E9PSG0_HUMAN NOS1AP 2
A0A0A0MRL0 A0A0A0MRL0_HUMAN ILF2 1
Q5T760 Q5T760_HUMAN SRSF11 1
E9PLR3 E9PLR3_HUMAN PRG4 1
D6RJM6 D6RJM6_HUMAN PRDM2 1
Q5SVH5 Q5SVH5_HUMAN IPO9 1
H0Y623 H0Y623_HUMAN CELF3 1
A0A2R8Y8A7 A0A2R8Y8A7_HUMAN SNX27 2
E5RJP6 E5RJP6_HUMAN TTC13 2
E5RG15 E5RG15_HUMAN TTC13 2
E9PAV9 E9PAV9_HUMAN GPATCH4 1
H7BXY5 H7BXY5_HUMAN NEXN 1
A2A3C3 A2A3C3_HUMAN ADGRB2 1
E7EPN8 E7EPN8_HUMAN TNNT2 1
A0A087WUV6 A0A087WUV6_HUMAN ARID1A 1
A0A0U1RQK7 A0A0U1RQK7_HUMAN EIF4G3 3
B1AKN5 B1AKN5_HUMAN NFIA 2
S4R3K5 S4R3K5_HUMAN NFIA 1
A2A3C6 A2A3C6_HUMAN ADGRB2 1
H0Y4J2 H0Y4J2_HUMAN MRPL37 1
Q5TAQ5 Q5TAQ5_HUMAN DCAF8 1
G3V3G9 G3V3G9_HUMAN NoGeneName 1
A0A087WZF3 A0A087WZF3_HUMAN HNRNPU 1
H0YEF0 H0YEF0_HUMAN DENND4B 1
A6NGX6 A6NGX6_HUMAN POLR3GL 1
H0YKH1 H0YKH1_HUMAN PBX1 1
H0YDK8 H0YDK8_HUMAN PUM1 1
A6PVY2 A6PVY2_HUMAN FAM177B 1
Q5T4K5 Q5T4K5_HUMAN CRTC2 1
A0A0A0MSF3 A0A0A0MSF3_HUMAN CCNL2 2
F2Z2C8 F2Z2C8_HUMAN ST6GALNAC5 1
Q5RI18 Q5RI18_HUMAN HNRNPU 1
E7EN81 E7EN81_HUMAN FBLIM1 1
A0A1B0GTU5 A0A1B0GTU5_HUMAN ARID1A 2
H0YCU6 H0YCU6_HUMAN ARID1A 1
H3BP33 H3BP33_HUMAN RSRP1 1
C9JGJ7 C9JGJ7_HUMAN LRRC8B 1
E9PIR9 E9PIR9_HUMAN CRYBG2 1
A0A2R8Y6D3 A0A2R8Y6D3_HUMAN ESPN 1
B1AKN6 B1AKN6_HUMAN NFIA 1
A0A087X0P4 A0A087X0P4_HUMAN PBX1 1
K7EIR5 K7EIR5_HUMAN KCNAB2 1
H0Y488 H0Y488_HUMAN ARID1A 2
A8MXT8 A8MXT8_HUMAN QSOX1 1
A0A1W2PPS1 A0A1W2PPS1_HUMAN HNRNPU 2
A0A0A0MRJ4 A0A0A0MRJ4_HUMAN TNNT2 1
E9PR38 E9PR38_HUMAN PUM1 1
A0A087WWP4 A0A087WWP4_HUMAN RBM15 4
D3YTC6 D3YTC6_HUMAN HSPB7 1
X6RCR8 X6RCR8_HUMAN ARID4B 2
C9JSZ1 C9JSZ1_HUMAN FUBP1 1
A0A087WXT8 A0A087WXT8_HUMAN INTS11 1
A0A087X128 A0A087X128_HUMAN IGSF9 1
V9GYQ9 V9GYQ9_HUMAN DCAF8 1
A0A1W2PP34 A0A1W2PP34_HUMAN HNRNPU 1
Q5VU80 Q5VU80_HUMAN UBAP2L 1
M0R088 M0R088_HUMAN SRRM1 1
S4R3W2 S4R3W2_HUMAN NFIA 1
H7C5N8 H7C5N8_HUMAN PRRC2C 1
Q5VU79 Q5VU79_HUMAN UBAP2L 1
A0A0C4DFR1 A0A0C4DFR1_HUMAN TMCC2 1
F8WA05 F8WA05_HUMAN PBX1 1
F8W895 F8W895_HUMAN GPATCH4 1
A0A3B3ITZ9 A0A3B3ITZ9_HUMAN THRAP3 2
E7EPN9 E7EPN9_HUMAN PRRC2C 5
H0YCE2 H0YCE2_HUMAN ANP32E 2
X6RE05 X6RE05_HUMAN UBR4 1
K7EMY3 K7EMY3_HUMAN CHD5 1
H0YLM3 H0YLM3_HUMAN PBX1 1
E5RHB3 E5RHB3_HUMAN TTC13 2
H0YBV3 H0YBV3_HUMAN TTC13 1
Q5SR54 Q5SR54_HUMAN CLSTN1 1
Q5TAQ8 Q5TAQ8_HUMAN DCAF8 1
H7C5M1 H7C5M1_HUMAN RBM34 1
A0A087WYV3 A0A087WYV3_HUMAN ZCCHC17 1
A0A087WYX3 A0A087WYX3_HUMAN SEMA6C 1
A0A1W2PPH7 A0A1W2PPH7_HUMAN HNRNPU 1
H7C603 H7C603_HUMAN SNX27 2
Q5TCT4 Q5TCT4_HUMAN RBM34 1
A0A286YF37 A0A286YF37_HUMAN FBXO2 1
A0A2R8YH07 A0A2R8YH07_HUMAN HSPG2 1
B1AN92 B1AN92_HUMAN EIF4G3 1
H0YED4 H0YED4_HUMAN PUM1 1
E7ET48 E7ET48_HUMAN CRYBG2 1
A0A0U1RRM6 A0A0U1RRM6_HUMAN ENAH 4
H0YLD4 H0YLD4_HUMAN PBX1 1
A0A0A0MSQ4 A0A0A0MSQ4_HUMAN ESPN 1
H0YLF5 H0YLF5_HUMAN PBX1 1
A0A2R8YET2 A0A2R8YET2_HUMAN PRRC2C 1
V9GY54 V9GY54_HUMAN DCAF8 1
A0A1B0GUN9 A0A1B0GUN9_HUMAN ESPN 5
A6PWC8 A6PWC8_HUMAN SAMD11 1
A0A087X2B9 A0A087X2B9_HUMAN UQCRH 1
C9J979 C9J979_HUMAN INTS11 1
A2A3C2 A2A3C2_HUMAN ADGRB2 1
J3KPA5 J3KPA5_HUMAN SLC6A9 1
F8WD64 F8WD64_HUMAN STUM 1
A0A0J9YWT2 A0A0J9YWT2_HUMAN MPZ 1
A0A0C4DGT8 A0A0C4DGT8_HUMAN RSBN1 2
A0A0D9SEM4 A0A0D9SEM4_HUMAN SRSF4 2
Q5VXJ5 Q5VXJ5_HUMAN SYCP1 1
B1AKN8 B1AKN8_HUMAN NFIA 2
J3KS35 J3KS35_HUMAN CDK11A 2
H7BZD9 H7BZD9_HUMAN NAV1 1
F5H055 F5H055_HUMAN ZNF362 1
E9PAK5 E9PAK5_HUMAN DENND4B 1
A0A0C4DG88 A0A0C4DG88_HUMAN POU2F1 1
E9PKG2 E9PKG2_HUMAN LRP8 1
A0A0D9SER5 A0A0D9SER5_HUMAN CDK11B 2
C9JAC8 C9JAC8_HUMAN CASQ1 1
A0A087WWA3 A0A087WWA3_HUMAN KIF1B 1
A0A0A0MQW9 A0A0A0MQW9_HUMAN KCNN3 2
H0YC92 H0YC92_HUMAN SLC5A9 1
Q5VU81 Q5VU81_HUMAN UBAP2L 1
A0A0A0MR98 A0A0A0MR98_HUMAN NADK 1
Q5VU77 Q5VU77_HUMAN UBAP2L 1
A2A2V2 A2A2V2_HUMAN RBM34 1
A0A0J9YW00 A0A0J9YW00_HUMAN ESPN 1
H0YDQ8 H0YDQ8_HUMAN CRTC2 1
A6PVY1 A6PVY1_HUMAN FAM177B 1
A0A0C4DG09 A0A0C4DG09_HUMAN CADM3 1
A6NCQ8 A6NCQ8_HUMAN FCER1G 1
H0Y6V3 H0Y6V3_HUMAN CDC42BPA 1
A0A1W2PPL4 A0A1W2PPL4_HUMAN HNRNPU 1
A0A0A0MSW0 A0A0A0MSW0_HUMAN UBR4 1
E7ESP2 E7ESP2_HUMAN CDK11A 2
H0Y917 H0Y917_HUMAN WDR26 1
A0A087WUE6 A0A087WUE6_HUMAN GON4L 1
B1AN91 B1AN91_HUMAN EIF4G3 1
A0A0A0MSV5 A0A0A0MSV5_HUMAN POU2F1 1
A0A2R8Y871 A0A2R8Y871_HUMAN SNX27 2
E9PLC4 E9PLC4_HUMAN ANP32E 2
F2Z2E2 F2Z2E2_HUMAN IQGAP3 1
H0YEH2 H0YEH2_HUMAN PUM1 1
H0YAZ2 H0YAZ2_HUMAN EXO1 1
A0A0A0MSV6 A0A0A0MSV6_HUMAN C1QB 1
D6RGJ1 D6RGJ1_HUMAN C1QB 1
Q5VU78 Q5VU78_HUMAN UBAP2L 1
H9KV50 H9KV50_HUMAN SELENON 1
H7C5R6 H7C5R6_HUMAN ARID4B 1
A0A0A0MT46 A0A0A0MT46_HUMAN POU2F1 1
A0A0D9SEN2 A0A0D9SEN2_HUMAN CDK11B 2
F2Z2R5 F2Z2R5_HUMAN CHD5 2
H7C4R6 H7C4R6_HUMAN PPP1R12B 1
A0A286YEX3 A0A286YEX3_HUMAN IL10 1
D6R934 D6R934_HUMAN C1QB 1
Q9NY43 BARH2_HUMAN BARHL2 2
P25067 CO8A2_HUMAN COL8A2 1
O75173 ATS4_HUMAN ADAMTS4 1
O60909 B4GT2_HUMAN B4GALT2 1
Q9HAW4 CLSPN_HUMAN CLSPN 1
O00230 CORT_HUMAN CORT 1
P49760 CLK2_HUMAN CLK2 1
P31415 CASQ1_HUMAN CASQ1 1
Q2M243 CCD27_HUMAN CCDC27 1
P14091 CATE_HUMAN CTSE 1
Q5VYD6 Q5VYD6_HUMAN HAX1 1
E9PEB5 E9PEB5_HUMAN FUBP1 1
A0A3B3IT11 A0A3B3IT11_HUMAN HSPG2 1
Q99952 PTN18_HUMAN PTPN18 1
Q9HC10 OTOF_HUMAN OTOF 2
P32242 OTX1_HUMAN OTX1 2
Q13724 MOGS_HUMAN MOGS 1
Q92968 PEX13_HUMAN PEX13 1
O95819 M4K4_HUMAN MAP4K4 1
O15259 NPHP1_HUMAN NPHP1 1
Q9Y2X3 NOP58_HUMAN NOP58 2
O14513 NCKP5_HUMAN NCKAP5 1
Q1L5Z9 LONF2_HUMAN LONRF2 1
P19338 NUCL_HUMAN NCL 2
Q9UL68 MYT1L_HUMAN MYT1L 1
P05976 MYL1_HUMAN MYL1 2
Q9H0V9 LMA2L_HUMAN LMAN2L 1
Q14766 LTBP1_HUMAN LTBP1 1
Q13018 PLA2R_HUMAN PLA2R1 1
Q8N5V2 NGEF_HUMAN NGEF 1
Q13562 NDF1_HUMAN NEUROD1 2
Q99569 PKP4_HUMAN PKP4 1
Q86UE6 LRRT1_HUMAN LRRTM1 1
Q9BWU0 NADAP_HUMAN SLC4A1AP 1
Q8NEY4 VATC2_HUMAN ATP6V1C2 1
Q8N2C7 UNC80_HUMAN UNC80 1
Q92499 DDX1_HUMAN DDX1 1
Q9NVP1 DDX18_HUMAN DDX18 1
Q9Y3E7 CHMP3_HUMAN CHMP3 1
Q9H165 BC11A_HUMAN BCL11A 1
Q9NR09 BIRC6_HUMAN BIRC6 4
O60583 CCNT2_HUMAN CCNT2 3
Q9BWT1 CDCA7_HUMAN CDCA7 1
Q13319 CD5R2_HUMAN CDK5R2 1
Q0VFZ6 CC173_HUMAN CCDC173 1
Q96PX6 CC85A_HUMAN CCDC85A 1
Q8WYN3 CSRN3_HUMAN CSRNP3 2
Q9UI10 EI2BD_HUMAN EIF2B4 1
Q86XK2 FBX11_HUMAN FBXO11 2
Q96PY5 FMNL2_HUMAN FMNL2 2
Q9P2D3 HTR5B_HUMAN HEATR5B 1
A8MTJ6 FOXI3_HUMAN FOXI3 3
Q5HY92 FIGN_HUMAN FIGN 1
P04114 APOB_HUMAN APOB 1
Q7Z4P5 GDF7_HUMAN GDF7 1
Q13427 PPIG_HUMAN PPIG 4
