UniqueIdentifier EntryName NumberTRs
P22301 IL10_HUMAN 1
Q99684 GFI1_HUMAN 1
P49137 MAPK2_HUMAN 1
Q00839 HNRPU_HUMAN 3
Q9UBY9 HSPB7_HUMAN 1
Q14774 HLX_HUMAN 1
Q5SSJ5 HP1B3_HUMAN 1
O43390 HNRPR_HUMAN 1
P11047 LAMC1_HUMAN 1
Q13753 LAMC2_HUMAN 1
A6NHR2 A6NHR2_HUMAN 1
Q5VXI4 Q5VXI4_HUMAN 1
H0Y612 H0Y612_HUMAN 1
A0A087WYJ0 A0A087WYJ0_HUMAN 2
A0A0D9SEX9 A0A0D9SEX9_HUMAN 1
Q537H9 Q537H9_HUMAN 1
Q5T1Z8 Q5T1Z8_HUMAN 1
B1AVT0 B1AVT0_HUMAN 1
A0A2R8Y5B5 A0A2R8Y5B5_HUMAN 1
Q9BV00 Q9BV00_HUMAN 1
K7EJQ1 K7EJQ1_HUMAN 2
A0A0C4DH79 A0A0C4DH79_HUMAN 2
A0A286YEZ8 A0A286YEZ8_HUMAN 1
E9PQA7 E9PQA7_HUMAN 1
S4R369 S4R369_HUMAN 1
A0A0A0MRN4 A0A0A0MRN4_HUMAN 1
A0A2R8YDT1 A0A2R8YDT1_HUMAN 1
C9JDF8 C9JDF8_HUMAN 1
Q5VTW1 Q5VTW1_HUMAN 1
A0A0D9SEW3 A0A0D9SEW3_HUMAN 1
B9DI82 B9DI82_HUMAN 1
A0A1W2PQD4 A0A1W2PQD4_HUMAN 1
G5E963 G5E963_HUMAN 1
Q5T1Z4 Q5T1Z4_HUMAN 1
B7Z369 B7Z369_HUMAN 1
G3V1E2 G3V1E2_HUMAN 1
Q5QPR4 Q5QPR4_HUMAN 2
Q5TB19 Q5TB19_HUMAN 1
A0A1B0GUZ3 A0A1B0GUZ3_HUMAN 1
A0A0A0MRN0 A0A0A0MRN0_HUMAN 2
H0YLB0 H0YLB0_HUMAN 1
B4DWT1 B4DWT1_HUMAN 1
Q4R9M9 Q4R9M9_HUMAN 1
A6NGQ3 A6NGQ3_HUMAN 1
H7C3W7 H7C3W7_HUMAN 1
Q5TB25 Q5TB25_HUMAN 2
Q16075 Q16075_HUMAN 1
B4DT28 B4DT28_HUMAN 1
F6X5H7 F6X5H7_HUMAN 1
Q68DG0 Q68DG0_HUMAN 1
Q5QPR3 Q5QPR3_HUMAN 2
E7EPW4 E7EPW4_HUMAN 1
B1AKN7 B1AKN7_HUMAN 2
A0A0A0MRZ6 A0A0A0MRZ6_HUMAN 1
H0Y953 H0Y953_HUMAN 1
H0YLT4 H0YLT4_HUMAN 1
R4GMQ1 R4GMQ1_HUMAN 1
A0A087WTF2 A0A087WTF2_HUMAN 1
A0A1X7SBS1 A0A1X7SBS1_HUMAN 2
E9PCT1 E9PCT1_HUMAN 1
A0A0A0MS30 A0A0A0MS30_HUMAN 1
V9GYN8 V9GYN8_HUMAN 1
H0Y6F6 H0Y6F6_HUMAN 1
A0A0A0MTI0 A0A0A0MTI0_HUMAN 1
A0A1B0GTS2 A0A1B0GTS2_HUMAN 1
A0A0A0MRJ5 A0A0A0MRJ5_HUMAN 1
C9JM61 C9JM61_HUMAN 1
A0A087WZC3 A0A087WZC3_HUMAN 1
H7BYW9 H7BYW9_HUMAN 2
E9PI45 E9PI45_HUMAN 1
A0A3B3ITX8 A0A3B3ITX8_HUMAN 1
E5RFZ1 E5RFZ1_HUMAN 1
A0A087WWP8 A0A087WWP8_HUMAN 2
F8W8C1 F8W8C1_HUMAN 3
A0A087WXF8 A0A087WXF8_HUMAN 1
A0A087X0A5 A0A087X0A5_HUMAN 1
A0A0A0MSA7 A0A0A0MSA7_HUMAN 1
A0A2R8YEX1 A0A2R8YEX1_HUMAN 1
Q5TIJ2 Q5TIJ2_HUMAN 1
A0A1W2PP35 A0A1W2PP35_HUMAN 2
A0A0D9SFA7 A0A0D9SFA7_HUMAN 1
C9JXK0 C9JXK0_HUMAN 1
A0A0D9SEI3 A0A0D9SEI3_HUMAN 2
R4GNH2 R4GNH2_HUMAN 1
A9Z1X7 A9Z1X7_HUMAN 3
J3QR95 J3QR95_HUMAN 1
A0A0A0MRK1 A0A0A0MRK1_HUMAN 1
E7EX92 E7EX92_HUMAN 1
A0A1W2PQL0 A0A1W2PQL0_HUMAN 1
E7ESG2 E7ESG2_HUMAN 1
A0A0A0MSH9 A0A0A0MSH9_HUMAN 1
A0A0A0MRJ3 A0A0A0MRJ3_HUMAN 2
S4R3C4 S4R3C4_HUMAN 1
F8W726 F8W726_HUMAN 1
B1AKR2 B1AKR2_HUMAN 1
E9PSG0 E9PSG0_HUMAN 2
A0A0A0MRL0 A0A0A0MRL0_HUMAN 1
Q5T760 Q5T760_HUMAN 1
E9PLR3 E9PLR3_HUMAN 1
D6RJM6 D6RJM6_HUMAN 1
Q5SVH5 Q5SVH5_HUMAN 1
H0Y623 H0Y623_HUMAN 1
A0A2R8Y8A7 A0A2R8Y8A7_HUMAN 2
E5RJP6 E5RJP6_HUMAN 2
E5RG15 E5RG15_HUMAN 2
E9PAV9 E9PAV9_HUMAN 1
H7BXY5 H7BXY5_HUMAN 1
A2A3C3 A2A3C3_HUMAN 1
E7EPN8 E7EPN8_HUMAN 1
A0A087WUV6 A0A087WUV6_HUMAN 1
A0A0U1RQK7 A0A0U1RQK7_HUMAN 3
B1AKN5 B1AKN5_HUMAN 2
S4R3K5 S4R3K5_HUMAN 1
A2A3C6 A2A3C6_HUMAN 1
H0Y4J2 H0Y4J2_HUMAN 1
Q5TAQ5 Q5TAQ5_HUMAN 1
G3V3G9 G3V3G9_HUMAN 1
A0A087WZF3 A0A087WZF3_HUMAN 1
H0YEF0 H0YEF0_HUMAN 1
A6NGX6 A6NGX6_HUMAN 1
H0YKH1 H0YKH1_HUMAN 1
H0YDK8 H0YDK8_HUMAN 1
A6PVY2 A6PVY2_HUMAN 1
Q5T4K5 Q5T4K5_HUMAN 1
A0A0A0MSF3 A0A0A0MSF3_HUMAN 2
F2Z2C8 F2Z2C8_HUMAN 1
Q5RI18 Q5RI18_HUMAN 1
E7EN81 E7EN81_HUMAN 1
A0A1B0GTU5 A0A1B0GTU5_HUMAN 2
H0YCU6 H0YCU6_HUMAN 1
H3BP33 H3BP33_HUMAN 1
C9JGJ7 C9JGJ7_HUMAN 1
E9PIR9 E9PIR9_HUMAN 1
A0A2R8Y6D3 A0A2R8Y6D3_HUMAN 1
B1AKN6 B1AKN6_HUMAN 1
A0A087X0P4 A0A087X0P4_HUMAN 1
K7EIR5 K7EIR5_HUMAN 1
H0Y488 H0Y488_HUMAN 2
A8MXT8 A8MXT8_HUMAN 1
A0A1W2PPS1 A0A1W2PPS1_HUMAN 2
A0A0A0MRJ4 A0A0A0MRJ4_HUMAN 1
E9PR38 E9PR38_HUMAN 1
A0A087WWP4 A0A087WWP4_HUMAN 4
D3YTC6 D3YTC6_HUMAN 1
X6RCR8 X6RCR8_HUMAN 2
C9JSZ1 C9JSZ1_HUMAN 1
A0A087WXT8 A0A087WXT8_HUMAN 1
A0A087X128 A0A087X128_HUMAN 1
V9GYQ9 V9GYQ9_HUMAN 1
A0A1W2PP34 A0A1W2PP34_HUMAN 1
Q5VU80 Q5VU80_HUMAN 1
M0R088 M0R088_HUMAN 1
S4R3W2 S4R3W2_HUMAN 1
H7C5N8 H7C5N8_HUMAN 1
Q5VU79 Q5VU79_HUMAN 1
A0A0C4DFR1 A0A0C4DFR1_HUMAN 1
F8WA05 F8WA05_HUMAN 1
F8W895 F8W895_HUMAN 1
A0A3B3ITZ9 A0A3B3ITZ9_HUMAN 2
E7EPN9 E7EPN9_HUMAN 5
H0YCE2 H0YCE2_HUMAN 2
X6RE05 X6RE05_HUMAN 1
K7EMY3 K7EMY3_HUMAN 1
H0YLM3 H0YLM3_HUMAN 1
E5RHB3 E5RHB3_HUMAN 2
H0YBV3 H0YBV3_HUMAN 1
Q5SR54 Q5SR54_HUMAN 1
Q5TAQ8 Q5TAQ8_HUMAN 1
H7C5M1 H7C5M1_HUMAN 1
A0A087WYV3 A0A087WYV3_HUMAN 1
A0A087WYX3 A0A087WYX3_HUMAN 1
A0A1W2PPH7 A0A1W2PPH7_HUMAN 1
H7C603 H7C603_HUMAN 2
Q5TCT4 Q5TCT4_HUMAN 1
A0A286YF37 A0A286YF37_HUMAN 1
A0A2R8YH07 A0A2R8YH07_HUMAN 1
B1AN92 B1AN92_HUMAN 1
H0YED4 H0YED4_HUMAN 1
E7ET48 E7ET48_HUMAN 1
A0A0U1RRM6 A0A0U1RRM6_HUMAN 4
H0YLD4 H0YLD4_HUMAN 1
A0A0A0MSQ4 A0A0A0MSQ4_HUMAN 1
H0YLF5 H0YLF5_HUMAN 1
A0A2R8YET2 A0A2R8YET2_HUMAN 1
V9GY54 V9GY54_HUMAN 1
A0A1B0GUN9 A0A1B0GUN9_HUMAN 5
A6PWC8 A6PWC8_HUMAN 1
A0A087X2B9 A0A087X2B9_HUMAN 1
C9J979 C9J979_HUMAN 1
A2A3C2 A2A3C2_HUMAN 1
J3KPA5 J3KPA5_HUMAN 1
F8WD64 F8WD64_HUMAN 1
A0A0J9YWT2 A0A0J9YWT2_HUMAN 1
A0A0C4DGT8 A0A0C4DGT8_HUMAN 2
A0A0D9SEM4 A0A0D9SEM4_HUMAN 2
Q5VXJ5 Q5VXJ5_HUMAN 1
B1AKN8 B1AKN8_HUMAN 2
J3KS35 J3KS35_HUMAN 2
H7BZD9 H7BZD9_HUMAN 1
F5H055 F5H055_HUMAN 1
E9PAK5 E9PAK5_HUMAN 1
A0A0C4DG88 A0A0C4DG88_HUMAN 1
E9PKG2 E9PKG2_HUMAN 1
A0A0D9SER5 A0A0D9SER5_HUMAN 2
C9JAC8 C9JAC8_HUMAN 1
A0A087WWA3 A0A087WWA3_HUMAN 1
A0A0A0MQW9 A0A0A0MQW9_HUMAN 2
H0YC92 H0YC92_HUMAN 1
Q5VU81 Q5VU81_HUMAN 1
A0A0A0MR98 A0A0A0MR98_HUMAN 1
Q5VU77 Q5VU77_HUMAN 1
A2A2V2 A2A2V2_HUMAN 1
A0A0J9YW00 A0A0J9YW00_HUMAN 1
H0YDQ8 H0YDQ8_HUMAN 1
A6PVY1 A6PVY1_HUMAN 1
A0A0C4DG09 A0A0C4DG09_HUMAN 1
A6NCQ8 A6NCQ8_HUMAN 1
H0Y6V3 H0Y6V3_HUMAN 1
A0A1W2PPL4 A0A1W2PPL4_HUMAN 1
A0A0A0MSW0 A0A0A0MSW0_HUMAN 1
E7ESP2 E7ESP2_HUMAN 2
H0Y917 H0Y917_HUMAN 1
A0A087WUE6 A0A087WUE6_HUMAN 1
B1AN91 B1AN91_HUMAN 1
A0A0A0MSV5 A0A0A0MSV5_HUMAN 1
A0A2R8Y871 A0A2R8Y871_HUMAN 2
E9PLC4 E9PLC4_HUMAN 2
F2Z2E2 F2Z2E2_HUMAN 1
H0YEH2 H0YEH2_HUMAN 1
H0YAZ2 H0YAZ2_HUMAN 1
A0A0A0MSV6 A0A0A0MSV6_HUMAN 1
D6RGJ1 D6RGJ1_HUMAN 1
Q5VU78 Q5VU78_HUMAN 1
H9KV50 H9KV50_HUMAN 1
H7C5R6 H7C5R6_HUMAN 1
A0A0A0MT46 A0A0A0MT46_HUMAN 1
A0A0D9SEN2 A0A0D9SEN2_HUMAN 2
F2Z2R5 F2Z2R5_HUMAN 2
H7C4R6 H7C4R6_HUMAN 1
A0A286YEX3 A0A286YEX3_HUMAN 1
D6R934 D6R934_HUMAN 1
Q9NY43 BARH2_HUMAN 2
P25067 CO8A2_HUMAN 1
O75173 ATS4_HUMAN 1
O60909 B4GT2_HUMAN 1
Q9HAW4 CLSPN_HUMAN 1
O00230 CORT_HUMAN 1
P49760 CLK2_HUMAN 1
P31415 CASQ1_HUMAN 1
Q2M243 CCD27_HUMAN 1
P14091 CATE_HUMAN 1
Q5VYD6 Q5VYD6_HUMAN 1
E9PEB5 E9PEB5_HUMAN 1
A0A3B3IT11 A0A3B3IT11_HUMAN 1
Q99952 PTN18_HUMAN 1
Q9HC10 OTOF_HUMAN 2
P32242 OTX1_HUMAN 2
Q13724 MOGS_HUMAN 1
Q92968 PEX13_HUMAN 1
O95819 M4K4_HUMAN 1
O15259 NPHP1_HUMAN 1
Q9Y2X3 NOP58_HUMAN 2
O14513 NCKP5_HUMAN 1
Q1L5Z9 LONF2_HUMAN 1
P19338 NUCL_HUMAN 2
Q9UL68 MYT1L_HUMAN 1
P05976 MYL1_HUMAN 2
Q9H0V9 LMA2L_HUMAN 1
Q14766 LTBP1_HUMAN 1
Q13018 PLA2R_HUMAN 1
Q8N5V2 NGEF_HUMAN 1
Q13562 NDF1_HUMAN 2
Q99569 PKP4_HUMAN 1
Q86UE6 LRRT1_HUMAN 1
Q9BWU0 NADAP_HUMAN 1
Q8NEY4 VATC2_HUMAN 1
Q8N2C7 UNC80_HUMAN 1
Q92499 DDX1_HUMAN 1
Q9NVP1 DDX18_HUMAN 1
Q9Y3E7 CHMP3_HUMAN 1
Q9H165 BC11A_HUMAN 1
Q9NR09 BIRC6_HUMAN 4
O60583 CCNT2_HUMAN 3
Q9BWT1 CDCA7_HUMAN 1
Q13319 CD5R2_HUMAN 1
Q0VFZ6 CC173_HUMAN 1
Q96PX6 CC85A_HUMAN 1
Q8WYN3 CSRN3_HUMAN 2
Q9UI10 EI2BD_HUMAN 1
Q86XK2 FBX11_HUMAN 2
Q96PY5 FMNL2_HUMAN 2
Q9P2D3 HTR5B_HUMAN 1
A8MTJ6 FOXI3_HUMAN 3
Q5HY92 FIGN_HUMAN 1
P04114 APOB_HUMAN 1
Q7Z4P5 GDF7_HUMAN 1
Q13427 PPIG_HUMAN 4
Q6ZWE6 PKHM3_HUMAN 1
Q8WVK2 SNR27_HUMAN 1
Q96BH1 RNF25_HUMAN 1
P49190 PTH2R_HUMAN 1
O75400 PR40A_HUMAN 3
Q6ZV50 RFX8_HUMAN 1
Q9NPC8 SIX2_HUMAN 2
Q9UBY0 SL9A2_HUMAN 1
P47974 TISD_HUMAN 2
Q70CQ2 UBP34_HUMAN 1
Q9C0J8 WDR33_HUMAN 1
A4UGR9 XIRP2_HUMAN 1
Q7Z570 Z804A_HUMAN 1
Q14966 ZN638_HUMAN 1
Q8N8E2 ZN513_HUMAN 1
Q9Y6F9 WNT6_HUMAN 1
O60315 ZEB2_HUMAN 1
Q16629 SRSF7_HUMAN 1
Q9HB15 KCNKC_HUMAN 1
A0A0C4DH24 KV621_HUMAN 1
P01602 KV105_HUMAN 1
A0A0C4DH72 KV106_HUMAN 1
A0A0C4DH69 KV109_HUMAN 1
A0A0C4DH73 KV112_HUMAN 1
P01594 KV133_HUMAN 1
P01597 KV139_HUMAN 1
A0A075B6P5 KV228_HUMAN 1
P06310 KV230_HUMAN 1
A0A087WW87 KV240_HUMAN 1
P04433 KV311_HUMAN 1
P06312 KV401_HUMAN 1
P01593 KVD33_HUMAN 1
P01614 KVD40_HUMAN 1
A0A0C4DH67 KV108_HUMAN 1
P04430 KV116_HUMAN 1
P01599 KV117_HUMAN 1
A0A075B6S5 KV127_HUMAN 1
P01624 KV315_HUMAN 1
P01619 KV320_HUMAN 1
A0A0C4DH55 KVD07_HUMAN 1
A0A087WSZ0 KVD08_HUMAN 1
P01611 KVD12_HUMAN 1
A0A0B4J2D9 KVD13_HUMAN 1
A0A087WSY6 KVD15_HUMAN 1
P01601 KVD16_HUMAN 1
A0A075B6S4 KVD17_HUMAN 1
A0A0C4DH25 KVD20_HUMAN 1
A0A0A0MT36 KVD21_HUMAN 1
A0A0A0MRZ7 KVD26_HUMAN 1
P01615 KVD28_HUMAN 1
A0A075B6S2 KVD29_HUMAN 1
A0A075B6S6 KVD30_HUMAN 1
P04432 KVD39_HUMAN 1
A0A0B4J1Z2 KVD43_HUMAN 1
O14649 KCNK3_HUMAN 1
O60282 KIF5C_HUMAN 1
Q9P267 MBD5_HUMAN 1
P58400 NRX1B_HUMAN 1
Q8TB72 PUM2_HUMAN 2
Q15032 R3HD1_HUMAN 1
P20264 PO3F3_HUMAN 7
Q70E73 RAPH1_HUMAN 4
Q8N490 PNKD_HUMAN 1
P05187 PPB1_HUMAN 1
Q53LP3 SWAHC_HUMAN 2
Q15772 SPEG_HUMAN 1
P35716 SOX11_HUMAN 2
Q02447 SP3_HUMAN 2
Q6BEB4 SP5_HUMAN 2
Q8N831 TSYL6_HUMAN 1
Q9NQC3 RTN4_HUMAN 4
Q9C0C4 SEM4C_HUMAN 1
A0A286YFB4 SCGR2_HUMAN 1
Q6GMV2 SMYD5_HUMAN 1
P0CG40 SP9_HUMAN 3
Q8TEJ3 SH3R3_HUMAN 1
P51991 ROA3_HUMAN 1
Q9UPW6 SATB2_HUMAN 1
A0A286YF46 SCGR5_HUMAN 1
A0A286YF77 SCGR6_HUMAN 1
A0A286YF01 SCGR7_HUMAN 1
Q99250 SCN2A_HUMAN 1
Q99832 TCPH_HUMAN 1
Q9Y5Q9 TF3C3_HUMAN 1
Q9HBL0 TENS1_HUMAN 1
Q9HCS4 TF7L1_HUMAN 1
O43516 WIPF1_HUMAN 4
Q6NUQ4 TM214_HUMAN 1
Q8WZ42 TITIN_HUMAN 3
O43151 TET3_HUMAN 1
Q6ZT12 UBR3_HUMAN 1
A0A2R8Y4X4 A0A2R8Y4X4_HUMAN 1
A0A087WTU9 A0A087WTU9_HUMAN 2
A0A2R8Y6W8 A0A2R8Y6W8_HUMAN 1
A0A0A0MTF4 A0A0A0MTF4_HUMAN 1
Q2M2I8 AAK1_HUMAN 3
Q9NYB9 ABI2_HUMAN 2
P07510 ACHG_HUMAN 1
Q04771 ACVR1_HUMAN 1
Q8TCU4 ALMS1_HUMAN 2
Q6ULP2 AFTIN_HUMAN 2
Q8NER5 ACV1C_HUMAN 1
P18089 ADA2B_HUMAN 1
P51826 AFF3_HUMAN 2
Q9UM73 ALK_HUMAN 3
Q13685 AAMP_HUMAN 2
A7E2S9 A30BL_HUMAN 1
Q9ULI0 ATD2B_HUMAN 1
P10523 ARRS_HUMAN 1
Q86X95 CIR1_HUMAN 3
Q03828 EVX2_HUMAN 4
Q6P995 F171B_HUMAN 1
Q6P1L5 F117B_HUMAN 4
P19447 ERCC3_HUMAN 1
Q13467 FZD5_HUMAN 1
Q8IXR5 F178B_HUMAN 1
Q8TAM6 ERMIN_HUMAN 1
Q8TF61 FBX41_HUMAN 3
Q99581 FEV_HUMAN 1
Q86XH1 DRC11_HUMAN 1
Q9HCG8 CWC22_HUMAN 2
P25686 DNJB2_HUMAN 1
Q9NQR9 G6PC2_HUMAN 1
Q6P158 DHX57_HUMAN 1
Q07687 DLX2_HUMAN 3
Q9NZJ5 E2AK3_HUMAN 1
Q9NR33 DPOE4_HUMAN 1
Q8NFT8 DNER_HUMAN 2
P09529 INHBB_HUMAN 1
